YXDM,YXMC,SSDM,SSMC,BXLXDM,BXLXMC,XZLBDM,XZLBMC,SF211,SF985
11765,河南城建学院,41,河南省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11773,广西职业技术学院,45,广西壮族自治区,14,普通高等学校:专科院校:高等职业学校,03,农业院校,否,否
11775,防灾科技学院,13,河北省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11777,承德石油高等专科学校,13,河北省,13,普通高等学校:专科院校:高等专科学校,02,工科院校,否,否
11779,辽东学院,21,辽宁省,12,普通高等学校:本科院校:学院,08,财经院校,否,否
11784,仰恩大学,35,福建省,32,民办高等学校,01,综合院校,否,否
11785,九江职业技术学院,36,江西省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
11787,濮阳职业技术学院,41,河南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
11788,河南警察学院,41,河南省,12,普通高等学校:本科院校:学院,09,政法院校,否,否
11796,武汉城市职业学院,42,湖北省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
11798,武汉东湖学院,42,湖北省,32,民办高等学校,02,工科院校,否,否
11799,重庆工商大学,50,重庆市,11,普通高等学校:本科院校:大学,01,综合院校,否,否
11800,汉口学院,42,湖北省,32,民办高等学校,02,工科院校,否,否
11802,黑龙江工程学院,23,黑龙江省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11805,甘肃医学院,62,甘肃省,12,普通高等学校:本科院校:学院,05,医药院校,否,否
11806,陇南师范高等专科学校,62,甘肃省,13,普通高等学校:专科院校:高等专科学校,06,师范院校,否,否
11807,兰州工业学院,62,甘肃省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11808,定西师范高等专科学校,62,甘肃省,13,普通高等学校:专科院校:高等专科学校,06,师范院校,否,否
11810,海南医学院,46,海南省,12,普通高等学校:本科院校:学院,05,医药院校,否,否
11818,新疆维吾尔医学专科学校,65,新疆维吾尔自治区,13,普通高等学校:专科院校:高等专科学校,05,医药院校,否,否
11819,东莞理工学院,44,广东省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11821,邢台职业技术学院,13,河北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
11823,长春医学高等专科学校,22,吉林省,13,普通高等学校:专科院校:高等专科学校,05,医药院校,否,否
11825,桂林航天工业学院,45,广西壮族自治区,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11826,西安电力高等专科学校,61,陕西省,13,普通高等学校:专科院校:高等专科学校,02,工科院校,否,否
11827,山东电力高等专科学校,37,山东省,13,普通高等学校:专科院校:高等专科学校,02,工科院校,否,否
11828,郑州电力高等专科学校,41,河南省,13,普通高等学校:专科院校:高等专科学校,02,工科院校,否,否
11831,首钢工学院,11,北京市,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11832,河北经贸大学,13,河北省,11,普通高等学校:本科院校:大学,08,财经院校,否,否
11833,上海杉达学院,31,上海市,32,民办高等学校,08,财经院校,否,否
11834,黄河科技学院,41,河南省,32,民办高等学校,02,工科院校,否,否
11835,上海政法学院,31,上海市,12,普通高等学校:本科院校:学院,09,政法院校,否,否
11837,桂林旅游学院,45,广西壮族自治区,12,普通高等学校:本科院校:学院,08,财经院校,否,否
11838,贺州学院,45,广西壮族自治区,12,普通高等学校:本科院校:学院,01,综合院校,否,否
11840,西安医学院,61,陕西省,12,普通高等学校:本科院校:学院,05,医药院校,否,否
11841,民办四川天一学院,51,四川省,32,民办高等学校,08,财经院校,否,否
11842,浙江树人学院,33,浙江省,32,民办高等学校,02,工科院校,否,否
11843,九江学院,36,江西省,12,普通高等学校:本科院校:学院,01,综合院校,否,否
11845,广东工业大学,44,广东省,11,普通高等学校:本科院校:大学,02,工科院校,否,否
11846,广东外语外贸大学,44,广东省,11,普通高等学校:本科院校:大学,07,语言院校,否,否
11847,佛山科学技术学院,44,广东省,12,普通高等学校:本科院校:学院,01,综合院校,否,否
11848,重庆电力高等专科学校,50,重庆市,13,普通高等学校:专科院校:高等专科学校,02,工科院校,否,否
11903,中央司法警官学院,13,河北省,12,普通高等学校:本科院校:学院,09,政法院校,否,否
11998,徐州工程学院,32,江苏省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11999,海南职业技术学院,46,海南省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12026,大连民族大学,21,辽宁省,11,普通高等学校:本科院校:大学,12,民族院校,否,否
12034,湖南第一师范学院,43,湖南省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
12036,浙江交通职业技术学院,33,浙江省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12040,广州民航职业技术学院,44,广东省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12044,上海第二工业大学,31,上海市,11,普通高等学校:本科院校:大学,02,工科院校,否,否
12046,广州番禺职业技术学院,44,广东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12047,江苏经贸职业技术学院,32,江苏省,14,普通高等学校:专科院校:高等职业学校,08,财经院校,否,否
12048,南京特殊教育师范学院,32,江苏省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
12049,吉林交通职业技术学院,22,吉林省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12050,上海商学院,31,上海市,12,普通高等学校:本科院校:学院,08,财经院校,否,否
12051,湖北职业技术学院,42,湖北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12052,武汉船舶职业技术学院,42,湖北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12053,黑龙江建筑职业技术学院,23,黑龙江省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12054,九州职业技术学院,32,江苏省,32,民办高等学校,02,工科院校,否,否
12055,长沙航空职业技术学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12056,南通理工学院,32,江苏省,32,民办高等学校,02,工科院校,否,否
12057,包头职业技术学院,15,内蒙古自治区,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12058,黄河水利职业技术学院,41,河南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12059,广东培正学院,44,广东省,32,民办高等学校,08,财经院校,否,否
12060,广东松山职业技术学院,44,广东省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12061,金华职业技术学院,33,浙江省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12062,日照职业技术学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12063,盘锦职业技术学院,21,辽宁省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12064,成都航空职业技术学院,51,四川省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12065,四川电力职业技术学院,51,四川省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12067,许昌职业技术学院,41,河南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12070,曲阜远东职业技术学院,37,山东省,32,民办高等学校,01,综合院校,否,否
12072,安徽商贸职业技术学院,34,安徽省,14,普通高等学校:专科院校:高等职业学校,08,财经院校,否,否
12073,安徽水利水电职业技术学院,34,安徽省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12074,阜阳职业技术学院,34,安徽省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12078,硅湖职业技术学院,32,江苏省,32,民办高等学校,02,工科院校,否,否
12104,柳州职业技术学院,45,广西壮族自治区,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12105,天津中德应用技术大学,12,天津市,11,普通高等学校:本科院校:大学,02,工科院校,否,否
12106,泰州职业技术学院,32,江苏省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12107,贵州警官职业学院,52,贵州省,14,普通高等学校:专科院校:高等职业学校,09,政法院校,否,否
12111,山西警察学院,14,山西省,12,普通高等学校:本科院校:学院,09,政法院校,否,否
12121,南方医科大学,44,广东省,11,普通高等学校:本科院校:大学,05,医药院校,否,否
12212,四川警察学院,51,四川省,12,普通高等学校:本科院校:学院,09,政法院校,否,否
12213,南京森林警察学院,32,江苏省,12,普通高等学校:本科院校:学院,09,政法院校,否,否
12214,湖南医药学院,43,湖南省,12,普通高等学校:本科院校:学院,05,医药院校,否,否
12215,重庆工业职业技术学院,50,重庆市,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12216,安徽新华学院,34,安徽省,32,民办高等学校,02,工科院校,否,否
12217,铜陵职业技术学院,34,安徽省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12218,民办万博科技职业学院,34,安徽省,32,民办高等学校,02,工科院校,否,否
12219,安徽警官职业学院,34,安徽省,14,普通高等学校:专科院校:高等职业学校,09,政法院校,否,否
12220,淮南职业技术学院,34,安徽省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12222,贵州交通职业技术学院,52,贵州省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12223,贵州航天职业技术学院,52,贵州省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12300,湖南大众传媒职业技术学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12301,永州职业技术学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12302,湖南铁道职业技术学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12303,湖南涉外经济学院,43,湖南省,32,民办高等学校,01,综合院校,否,否
12304,湖南科技职业学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12306,长春东方职业学院,22,吉林省,32,民办高等学校,05,医药院校,否,否
12308,海口经济学院,46,海南省,32,民办高等学校,08,财经院校,否,否
12309,武昌首义学院,42,湖北省,32,民办高等学校,02,工科院校,否,否
12310,武昌理工学院,42,湖北省,32,民办高等学校,02,工科院校,否,否
12317,常州信息职业技术学院,32,江苏省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12322,广东农工商职业技术学院,44,广东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12324,青岛职业技术学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12325,广东新安职业技术学院,44,广东省,32,民办高等学校,01,综合院校,否,否
12326,威海职业学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12327,佛山职业技术学院,44,广东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12328,山东职业学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12329,山东劳动职业技术学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12330,莱芜职业技术学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12331,山东女子学院,37,山东省,12,普通高等学校:本科院校:学院,01,综合院校,否,否
12332,烟台南山学院,37,山东省,32,民办高等学校,02,工科院校,否,否
12334,安徽工业经济职业技术学院,34,安徽省,14,普通高等学校:专科院校:高等职业学校,08,财经院校,否,否
12335,济宁职业技术学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12336,贵州电子信息职业技术学院,52,贵州省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12343,湖南生物机电职业技术学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12344,广西生态工程职业技术学院,45,广西壮族自治区,14,普通高等学校:专科院校:高等职业学校,04,林业院校,否,否
12347,恩施职业技术学院,42,湖北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12349,云南国土资源职业学院,53,云南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12352,河北软件职业技术学院,13,河北省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12354,襄阳职业技术学院,42,湖北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12356,广西交通职业技术学院,45,广西壮族自治区,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12357,云南交通职业技术学院,53,云南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12362,武汉生物工程学院,42,湖北省,32,民办高等学校,02,工科院校,否,否
12364,广西工业职业技术学院,45,广西壮族自治区,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12367,河北石油职业技术学院,13,河北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12369,武汉工贸职业学院,42,湖北省,32,民办高等学校,02,工科院校,否,否
12379,广西国际商务职业技术学院,45,广西壮族自治区,14,普通高等学校:专科院校:高等职业学校,09,政法院校,否,否
12382,广西农业职业技术学院,45,广西壮族自治区,14,普通高等学校:专科院校:高等职业学校,03,农业院校,否,否
12388,长治职业技术学院,14,山西省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12389,河北建材职业技术学院,13,河北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12391,潍坊职业学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12392,柳州铁道职业技术学院,45,广西壮族自治区,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12393,昆明工业职业技术学院,53,云南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12396,烟台职业学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12397,湖南交通职业技术学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12401,湖南商务职业技术学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,08,财经院校,否,否
12408,河北政法职业学院,13,河北省,14,普通高等学校:专科院校:高等职业学校,09,政法院校,否,否
12410,合肥通用职业技术学院,34,安徽省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12415,沧州职业技术学院,13,河北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
